tsne1,tsne2,tsne3,class
-21.510752,-18.581053,-157.0771,outside
-14.237933,31.621864,-106.89477,outside
-31.745323,-124.87941,-44.694084,outside
-140.01129,-176.83566,70.33337,drink
35.189247,-62.200096,-145.22966,outside
-181.08789,-110.9477,104.32706,drink
67.563774,-239.41202,16.680101,drink
81.4703,-186.63905,-31.074251,drink
-76.83619,-5.448524,172.93037,drink
82.875565,-69.43836,-203.55653,outside
-31.449137,-31.65476,-120.85815,outside
98.951515,-90.673355,26.315035,drink
62.344883,-86.619255,-166.67644,outside
146.74844,-180.30437,82.04995,drink
142.29076,-202.372,32.964237,drink
-154.36194,-27.926903,-130.3631,outside
-67.371735,-10.821756,-183.4182,outside
-23.84985,-91.33032,-25.187654,drink
-2.1632586,-153.08421,-65.8929,drink
16.62234,-114.70024,204.1634,drink
47.407307,-225.96803,73.20486,drink
-99.63715,-78.653885,90.59076,drink
-50.255875,-153.02164,99.61869,drink
-68.077934,-52.26298,71.807304,drink
-224.977,-65.96761,-74.87835,outside
62.98617,-68.370804,80.631836,drink
-4.1082726,-123.779236,121.340294,drink
8.084072,40.240303,-137.69392,outside
-35.166126,0.9174578,-191.85408,outside
71.27859,48.954487,-177.19196,outside
121.157814,-81.70588,65.56675,drink
-102.041176,-21.163631,-123.68102,outside
-84.659256,-113.82704,201.50641,drink
-100.78705,-132.15213,54.508972,drink
60.633305,-9.821884,-203.29103,outside
103.65458,-93.23954,-148.27252,outside
-33.448776,-5.5736704,-113.224846,outside
-100.05723,-112.2692,152.18915,drink
-213.40964,-13.665809,-87.90887,outside
-56.95541,-97.9274,165.71852,drink
-93.11301,-170.03871,79.11849,drink
127.81788,-199.54265,-71.17306,drink
32.317635,19.443563,-163.87462,outside
82.80259,-53.245785,-137.95134,outside
-72.9516,-214.58456,-71.052986,outside
223.17809,-73.68946,-34.381786,drink
38.84923,-23.275934,-164.97664,outside
67.55412,50.716385,-230.78268,outside
-135.17499,-109.396416,70.86025,drink
-73.44354,-91.465256,8.170497,drink
-13.146258,-68.530815,34.69029,drink
38.983437,-140.24515,76.396866,drink
-197.47534,66.63359,107.991776,outside
13.748969,117.37644,-226.97147,outside
48.308826,-67.65087,103.20787,drink
-122.28121,46.734962,-174.68066,outside
-10.503092,-55.960934,-246.64389,outside
82.93797,-154.15219,-62.813007,drink
-64.893654,-40.091637,114.80216,drink
-128.33395,-71.19732,147.46361,drink
126.6775,-119.4443,29.79547,drink
88.27886,-32.81963,-174.77751,outside
30.933907,-151.32166,-115.99926,outside
200.32724,-75.49387,124.83793,drink
-96.49266,194.185,-19.703611,outside
25.922274,60.26063,-173.74626,outside
173.6449,5.18455,3.271522,menu
-100.73104,-130.26344,96.8511,drink
35.742504,-57.961067,-190.60777,outside
125.61033,-29.471174,46.637638,drink
-1.1509043,1.1393304,-131.28691,outside
93.70232,-203.63072,59.80822,drink
-143.73682,31.699331,-134.66869,outside
-126.914185,-157.85371,-128.4279,outside
237.13457,-70.7072,16.48853,drink
173.43887,-47.73063,-169.3918,outside
108.86116,77.01181,-154.98262,outside
-26.289934,-67.98149,-132.62225,outside
46.303947,19.819601,-127.62565,menu
-37.51894,-173.78717,-161.80971,outside
19.11512,-25.437763,-226.74367,outside
